PERCENT_WA,STATEFP,COUNTYFP
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0.059058354589484,27,77
0,27,77
0,27,77
0.05906336576822,27,77
0.059097770969523,27,77
0.06029985857881,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0.060941429759816,27,77
0,27,77
0.060946765610405,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0.061094762244352,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0.061185310000445,27,77
0,27,77
0.061191884028052,27,77
0,27,77
0,27,77
0,27,77
0.061602856971893,27,77
0,27,77
0,27,77
0,27,77
0,30,53
0,30,29
0,30,29
0,30,29
0,30,35
0,30,35
0,30,101
0,30,41
0,30,41
0,30,41
0,30,41
0,30,5
0,30,5
0,30,5
0,30,5
0,30,71
0,30,71
0,30,105
0,30,105
0,30,19
0,30,19
0,30,19
0,30,91
0,38,23
1.657176305460422,38,13
0,38,13
0,38,75
0,38,75
0,38,19
2.439474648816484,38,19
0,38,19
0,38,19
1.148962910678555,27,69
1.148962910678555,38,67
0,27,69
0,27,135
0,27,135
0,53,47
0,53,47
0,53,47
0,53,51
0,53,51
0,30,35
0,30,35
0,30,35
0,30,101
0,30,101
0,30,101
0,30,101
0,30,41
0,30,41
0,30,41
0,30,41
0,30,5
0,30,5
0,30,105
0,30,105
0,30,105
0,30,19
0,30,19
0,30,19
0,30,91
0.943480143034199,38,23
0,38,13
0,38,13
0,27,77
0,27,77
0,27,77
0,53,47
0,53,65
0,30,29
0,30,29
0,30,29
0,30,29
0,30,35
0,30,101
0,30,101
0,30,41
0,30,71
0,30,71
0,30,19
0,30,19
0,30,19
0,30,91
0,30,91
0,30,91
0.382849999082038,38,13
0.431914883917563,38,13
0,38,13
0.202425687699951,38,13
0.234653651210813,38,9
0,38,95
0,38,19
0.241412321918054,38,19
0,38,67
0,38,67
0,27,69
0,38,67
0,27,135
0,27,135
0,27,77
0,27,77
0,53,47
0,16,21
0,30,53
0.039541589457191,30,53
0,30,53
0,30,35
0,30,51
0,30,41
0,30,41
0,30,5
0,30,5
0,30,71
0,30,71
0,30,71
0,30,91
3.315867806529573,38,23
0,38,9
0,38,95
0,38,19
0,27,135
0,27,135
0,27,77
0,27,77
0,27,77
0,53,65
0,53,65
0,53,65
0,53,65
0.1545760599833,53,51
0,30,53
0,30,35
0,30,35
0,30,35
0,30,101
0,30,101
0,30,101
0,30,41
0,30,41
0,30,5
0,30,5
0,30,5
0,30,71
0,30,71
0,30,71
0,30,71
0,30,105
0,30,105
0,30,91
0,30,91
0,30,91
0,38,23
0,38,13
0,38,13
0.903323657499559,38,75
0,38,75
0,38,79
0,38,67
1.149222906781504,27,69
1.149222906781504,38,67
0,27,135
0,27,135
0,27,135
0,27,135
0,27,77
0,27,77
0,27,77
0,27,77
0,27,77
0.042741504601289,53,47
0.013234050159588,53,19
0,53,65
0,53,51
0,53,51
0,30,53
0,30,29
0,30,29
0,30,35
0,30,35
0,30,35
0,30,101
0,30,101
0,30,101
0,30,101
0,30,101
0,30,41
0,30,41
0,30,41
0,30,5
0,30,5
0,30,5
0,30,71
0,30,71
0,30,105
0,30,105
0,30,105
0,30,19
0,30,19
0,38,23
0,38,23
0,38,13
0,38,75
0,38,75
0,38,9
0,38,79
0,38,19
0,27,69
0,27,135
0,27,135
0,27,135
0,27,135
0,27,77
0,27,77
2.348929436439689,53,47
0,53,19
0,16,21
0,53,51
0,16,21
0,30,53
0,30,35
0,30,101
0,30,51
0,30,41
0,30,105
0,30,105
0,30,91
0,30,91
0,30,91
0,38,23
0,38,23
1.012659839221951,38,23
3.048686721517307,38,23
0,38,75
0,38,9
0,38,79
0,38,19
0.259310510727287,38,67
0.257453020898987,38,67
0,27,135
0,27,77
0,53,47
0,53,65
0,30,53
0,30,53
0,30,53
0,30,53
0,30,35
0,30,35
0,30,35
0,30,35
0,30,35
0,30,41
0,30,41
0,30,71
0,30,19
0,30,19
0,30,19
0,30,19
0,30,91
0,30,91
0,30,91
0,38,23
0,38,23
0,38,23
0,38,13
0.132589532134015,38,13
0,38,13
0,38,75
0.900654213330746,38,75
0,38,9
1.034154537702534,38,9
0,38,9
0,38,9
0,38,79
0,38,79
0,38,79
0,38,95
0,38,19
0,38,19
0,27,69
0,27,69
0,27,135
0,27,135
0,27,135
0,27,77
0,27,77
0,27,77
0,27,77
0.119688687904387,53,47
0,53,65
0,53,65
0,53,65
0.061104974079612,53,65
0,53,65
0,53,51
0,16,21
0,30,53
0,30,29
0,30,35
0,30,35
0,30,35
0,30,35
0,30,101
0,30,41
0,30,71
0,30,71
0,30,105
0,30,105
0,30,91
0,30,91
0,38,23
0,38,23
0,38,23
0,38,23
0,38,23
1.189239290492813,38,23
0,38,13
0,38,13
0,38,75
0,38,9
0,38,95
0,38,95
0,38,19
1.148997113970711,27,69
1.148997113970711,38,67
0,27,69
0,27,69
0,27,69
0,27,77
0,53,47
0,53,51
0,53,51
0,53,51
0.154706859589912,53,51
0,53,51
0,16,21
0,16,21
0,30,53
0,30,53
0,30,53
0,30,53
0,30,29
0,30,29
0,30,29
0,30,35
0,30,35
0,30,35
0,30,41
0,30,41
0,30,5
0,30,19
0,30,91
0,38,23
0,38,23
0,38,13
0,38,13
0.459068490156376,38,13
0,38,13
0,38,75
0,38,9
0,38,95
0,38,19
0,38,95
0,27,135
0,27,135
0,27,77
0,27,77
0,27,77
2.318710775584877,53,47
0,53,51
0.034537303869468,16,21
0,30,53
0,30,53
0,30,35
0,30,35
0,30,35
0,30,35
0,30,41
0,30,41
0,30,41
0,30,41
0,30,41
0,30,5
0,30,71
0,30,71
0,30,71
0,30,105
0,30,19
0,30,19
0,30,19
0,30,91
0,30,91
0,38,23
10.436235776896032,38,23
0,38,13
0.124666714528515,38,13
0,38,75
0,38,9
0,27,135
0,27,135
0,27,135
0,27,135
0,27,135
0,27,135
0,27,135
0,27,135
0,53,19
0.042649155122138,53,19
0.042649155122138,53,65
0,53,65
0.061096093131424,53,65
0,53,51
0,53,51
0,16,21
0,30,53
0,30,53
0.039528692277678,30,53
0,30,53
0,30,35
0,30,35
0,30,51
0,30,41
0,30,5
0,30,5
0,30,5
0,30,5
0,30,71
0,30,105
0,30,105
0,30,105
0,30,105
0,30,19
0,30,19
0,30,19
0,30,19
0,30,19
0,30,19
0,38,13
0,38,13
0,38,13
0,38,9
0,38,19
0,27,69
0,27,135
0,27,135
0,27,135
0,27,135
0.013119996204187,53,19
0,53,19
0,16,21
0,16,21
0,16,21
0,30,53
0,30,53
0,30,53
0,30,53
0,30,29
0,30,29
0,30,35
0,30,35
0,30,35
0,30,51
0,30,41
0,30,41
0,30,5
0,30,5
0,30,19
0,30,19
0,30,19
0,30,19
0,30,91
0,30,91
0,30,91
0,38,23
0,38,23
0,38,23
0,38,23
0,38,9
0,38,9
0,38,79
0,38,95
0,38,95
0,38,95
0,38,19
0,27,69
0,27,69
0,27,135
0,27,135
0,27,135
0,27,135
0,53,65
0,53,51
0,53,51
0,53,51
0,53,51
0,16,21
0,30,53
0,30,53
0,30,53
0,30,53
0,30,53
0,30,53
0,30,53
0,30,29
0,30,35
0,30,35
0,30,35
0,30,101
0,30,101
0,30,51
0,30,51
0,30,51
0,30,51
0,30,51
0,30,41
0,30,41
0,30,5
0,30,5
0,30,5
0,30,5
0,30,71
0,30,71
0,30,105
0,30,91
0,38,23
0,38,23
0,38,13
0,38,13
0,38,13
0,38,13
1.034511246186777,38,9
0,38,9
0,38,9
0,38,9
0,38,9
0,38,79
0,38,19
0,38,19
0.244328541840613,38,19
0,38,67
0,38,67
0,27,69
0,27,77
0,27,135
0,53,47
0,53,19
0.009259416636457,53,19
0,53,65
0.06109077860649,53,65
0,16,21
0,16,21
0,30,53
0,30,53
0,30,53
0,30,35
0,30,35
0,30,35
0,30,35
